name,combined_text,overall_player_rating,rating_encoded
Black Myth: Wukong,"black myth: wukong is an action rpg rooted in chinese mythology. you shall set out as the destined one to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past. about this game
							black myth: wukong is an action rpg rooted in chinese mythology. the story is based on journey to the west, one of the four great classical novels of chinese literature. you shall set out as the destined one to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.• explore a land of vast wonders""a world unseen, where wonders gleam,and with each stride, a new scene streams.""enter a fascinating realm filled with the wonders and discoveries of ancient chinese mythology!as the destined one, you shall traverse an array of breathtaking and distinctive landscapes from the classic tale, composing an epic of adventure that is seen anew.• confront mighty foes, old and new""heroic monkey, might and fame, adversaries rise, to test his name.""one of the major highlights of journey to the west is its diverse cast of adversaries, each with their unique strengths.as the destined one, you will encounter powerful foes and worthy rivals throughout your journey. fearlessly engage them in epic battles where surrender is not an option.• temper your mastery of varied spells""spells unbound, talents in play,unleashed abilities seize the day.""spells, transformations, and magic vessels of all manifestations, in which some counteract while others amplify, have long been iconic combat elements of chinese mythology.as the destined one, aside from mastering various staff techniques, you can also freely combine different spells, abilities, weapons, and equipment to find a winning strategy that best suits your combat style.• discover heartfelt tales behind every facade""within all souls, both wild and tame,there thrives a tale of life's fierce flame.""beneath the ferocity and craftiness of your foes lies an engaging tapestry of their origins, personalities, and motivations waiting to be revealed.as the destined one, you will uncover the stories behind a variety of characters, delving beyond your battles with them to taste the love, hate, greed, and fury they once held and still carry within. ['mythology', 'action rpg', 'action', 'rpg', 'souls-like', 'combat', 'story rich', 'singleplayer', 'drama', 'action-adventure', 'dark fantasy', 'atmospheric', 'adventure', '3d', 'fantasy', 'hack and slash', 'third person', 'difficult', 'music', 'violent']",Overwhelmingly Positive,4.0
Counter-Strike 2,"for over two decades, counter-strike has offered an elite competitive experience, one shaped by millions of players from across the globe. and now the next chapter in the cs story is about to begin. this is counter-strike 2. about this game
							for over two decades, counter-strike has offered an elite competitive experience, one shaped by millions of players from across the globe. and now the next chapter in the cs story is about to begin. this is counter-strike 2.a free upgrade to cs:go, counter-strike 2 marks the largest technical leap in counter-strike’s history. built on the source 2 engine, counter-strike 2 is modernized with realistic physically-based rendering, state of the art networking, and upgraded community workshop tools.in addition to the classic objective-focused gameplay that counter-strike pioneered in 1999, counter-strike 2 features:all-new cs ratings with the updated premier modeglobal and regional leaderboardsupgraded and overhauled mapsgame-changing dynamic smoke grenadestick-rate-independent gameplayredesigned visual effects and audioall items from cs:go moving forward to cs2 ['fps', 'shooter', 'multiplayer', 'competitive', 'action', 'team-based', 'esports', 'tactical', 'first-person', 'pvp', 'online co-op', 'co-op', 'strategy', 'military', 'war', 'difficult', 'trading', 'realistic', 'fast-paced', 'moddable']",Very Positive,4.0
"Warhammer 40,000: Space Marine 2","embody the superhuman skill and brutality of a space marine. unleash deadly abilities and devastating weaponry to obliterate the relentless tyranid swarms. defend the imperium in spectacular third-person action in solo or multiplayer modes. about this game
embody the superhuman skill and brutality of a space marine. unleash deadly abilities and devastating weaponry to obliterate the relentless tyranid swarms. defend the imperium in spectacular third-person action in solo or multiplayer modes. fight the enemies of mankind as lieutenant demetrian titus in this sequel to 2011’s space marine, and prove your loyalty once again as you are reinstated to the ultramarines. hold at bay the horrors of the galaxy in epic battles on far-flung planets and uncover dark secrets to drive back the everlasting night. dive into a war of galactic proportions! enjoy intense, gory and fast-paced third-person action with hundreds of enemies on screen, and purge the relentless tyranid swarms made possible by saber’s trademark swarm engine.jump in endlessly brutal and replayable pve and pvp modes as your own space marines, unlocking new skills and cosmetics the more you play! fight as one of six unique classes, unlock up to 25 perks for each class, add perks to each of your weapons, and customise your appearance with a huge array of armour and weapon cosmetics! ['warhammer 40k', 'action', 'third-person shooter', 'adventure', 'multiplayer', 'action-adventure', 'pve', 'co-op', 'third person', 'wargame', 'sci-fi', '3d', 'narration', 'fantasy', 'space', 'war', 'realistic', 'singleplayer', 'cinematic', 'futuristic']",Very Positive,4.0
Cyberpunk 2077,"cyberpunk 2077 is an open-world, action-adventure rpg set in the dark future of night city — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification. about this game
cyberpunk 2077 is an open-world, action-adventure rpg set in the megalopolis of night city, where you play as a cyberpunk mercenary wrapped up in a do-or-die fight for survival. improved and featuring all-new free additional content, customize your character and playstyle as you take on jobs, build a reputation, and unlock upgrades. the relationships you forge and the choices you make will shape the story and the world around you. legends are made here. what will yours be?immerse yourself with update 2.1night city feels more alive than ever with the free update 2.1! take a ride on the fully functional ncart metro system, listen to music as you explore the city with the radioport, hang out with your partner in v’s apartment, compete in replayable races, ride new vehicles, enjoy improved bike combat and handling, discover hiddens secrets and much, much more!create your own cyberpunkbecome an urban outlaw equipped with cybernetic enhancements and build your legend on the streets of night city.explore the city of the futurenight city is packed to the brim with things to do, places to see, and people to meet. and it’s up to you where to go, when to go, and how to get there.build your legendgo on daring adventures and build relationships with unforgettable characters whose fates are shaped by the choices you make.equipped with improvementsexperience cyberpunk 2077 with a host of changes and improvements to gameplay and economy, the city, map usage, and more.claim exclusive itemsclaim in-game swag & digital goodies inspired by cd projekt red games as part of the my rewards program.go to cyberpunk.net ['cyberpunk', 'open world', 'nudity', 'rpg', 'singleplayer', 'sci-fi', 'futuristic', 'fps', 'mature', 'story rich', 'first-person', 'atmospheric', 'exploration', 'action', 'violent', 'great soundtrack', 'action rpg', 'adventure', 'character customization', 'immersive sim']",Very Positive,4.0
ELDEN RING,"the critically acclaimed fantasy action rpg. rise, tarnished, and be guided by grace to brandish the power of the elden ring and become an elden lord in the lands between. about this game
the critically acclaimed fantasy action rpgrise, tarnished, and be guided by grace to brandish the power of the elden ring.• a breathtaking world full of excitement and mysterythe lands between are part of a vast continent where magnificent open fields and huge dungeons with complex and three-dimensional designs are seamlessly connected. as you explore, the joy of discovering unknown and overwhelming threats awaits you.mastery of the terrain and knowledge of its secrets can help you overcome enemies and defeat formidable bosses or lead invading players into traps.• defeat challenging foes in intense combatcombat in elden ring is simple to learn yet offers hidden depths of mastery. as you seek to become the elden lord, you’ll need to explore the balance between attacking and avoiding damage, use a wide variety of weapons, spells, & summons, and perfect your timing to take advantage of your opponents’ weaknesses.• create and build your own characterin addition to customizing the appearance of your character, there are countless ways to combine the weapons, armor, usable items, and magic that you equip. you can develop your character according to your play style.no matter if you prefer bold physical confrontation, tactical spellcasting, or the subtle art of stealth, you’ll be able to find gear that supports your choices.• an epic drama born from a myth created by george r.r. martinthe founding mythology of elden ring was written by george r. r. martin and adapted into a rich multilayered story. intersecting goals and desires between the characters create an intense narrative that weaves throughout the lands between. the events of the game can unravel in many ways, depending on your interventions.• play alongside a massive worldwide communitythe tarnished community is massive and active. your friends may already be among them. you can play with up to two other tarnished as your cooperative teammates, either by inviting them using a shared password or by summoning them from a pool of nearby community members.there are also ample opportunities to face off against other players, either through co-op invasions, invited duels, or the many player battle options available in the three colosseums. ['souls-like', 'dark fantasy', 'open world', 'rpg', 'difficult', 'action rpg', 'third person', 'multiplayer', 'fantasy', 'singleplayer', 'online co-op', 'action', 'co-op', 'pvp', 'atmospheric', 'great soundtrack', 'violent', '3d', 'character customization', 'family friendly']",Very Positive,4.0
PUBG: BATTLEGROUNDS,"play pubg: battlegrounds for free. land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse battlegrounds. squad up and join the battlegrounds for the original battle royale experience that only pubg: battlegrounds can offer. about this game
land, loot, survive!play pubg: battlegrounds for free.land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse battlegrounds.squad up and join the battlegrounds for the original battle royale experience that only pubg: battlegrounds can offer.this content download will also provide access to the battlegrounds test server, which requires a separate download to play. optional in-game purchases available. ['survival', 'shooter', 'battle royale', 'multiplayer', 'fps', 'pvp', 'third-person shooter', 'action', 'online co-op', 'tactical', 'co-op', 'first-person', 'strategy', 'early access', 'competitive', 'third person', 'team-based', 'difficult', 'simulation', 'stealth']",Mixed,2.0
Apex Legends™,"apex legends is the award-winning, free-to-play hero shooter from respawn entertainment. master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of hero shooter and battle royale. about this game
							conquer with character in apex legends, a free-to-play* hero shooter where legendary characters with powerful abilities team up to battle for fame & fortune on the fringes of the frontier.master an ever-growing roster of diverse legends, deep-tactical squad play, and bold, new innovations that go beyond the battle royale experience — all within a rugged world where anything goes. welcome to the next evolution of hero shooter.key featuresthis game includes optional in-game purchases of virtual currency that can be used to acquire virtual in-game items, including a random selection of virtual in-game items.note that any unused apex coins will expire 180 days after the first date in which they are acquired or purchased. the oldest apex coins that are subject to expiration in your balance will always be used first when using them to make in-game purchases.apex packs purchase is not available in belgium. ['free to play', 'battle royale', 'multiplayer', 'fps', 'shooter', 'first-person', 'pvp', 'action', 'hero shooter', 'team-based', 'tactical', 'sci-fi', 'survival', 'loot', 'character customization', 'funny', 'co-op', 'lore-rich', 'cyberpunk', 'cinematic']",Mixed,2.0
Dota 2,"every day, millions of players worldwide enter battle as one of over a hundred dota heroes. and no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. with regular updates that ensure a constant evolution of gameplay, features, and heroes, dota 2 has taken on a life of its own. about this game
the most-played game on steam.every day, millions of players worldwide enter battle as one of over a hundred dota heroes. and no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. with regular updates that ensure a constant evolution of gameplay, features, and heroes, dota 2 has truly taken on a life of its own.one battlefield. infinite possibilities.when it comes to diversity of heroes, abilities, and powerful items, dota boasts an endless array—no two games are the same. any hero can fill multiple roles, and there's an abundance of items to help meet the needs of each game. dota doesn't provide limitations on how to play, it empowers you to express your own style.all heroes are free.competitive balance is dota's crown jewel, and to ensure everyone is playing on an even field, the core content of the game—like the vast pool of heroes—is available to all players. fans can collect cosmetics for heroes and fun add-ons for the world they inhabit, but everything you need to play is already included before you join your first match.bring your friends and party up.dota is deep, and constantly evolving, but it's never too late to join. learn the ropes playing co-op vs. bots. sharpen your skills in the hero demo mode. jump into the behavior- and skill-based matchmaking system that ensures you'll be matched with the right players each game. ['free to play', 'moba', 'multiplayer', 'strategy', 'esports', 'team-based', 'competitive', 'action', 'online co-op', 'pvp', 'difficult', 'co-op', 'rts', 'rpg', 'tower defense', 'fantasy', 'character customization', 'replay value', 'action rpg', 'simulation']",Very Positive,4.0
Party Animals,"fight your friends as puppies, kittens and other fuzzy creatures in party animals! paw it out with your friends remotely, or huddle together for chaotic fun on the same screen. interact with the world under our realistic physics engine. did i mention puppies? about this game
 make painfully great memories with your friends in party animals.  mess with your friend in 100 different waysor together you could eliminate othersteamwork is also highly appreciated hereespecially when fighting for gummy bear ['casual', 'multiplayer', 'funny', 'cute', 'party game', 'fighting', 'action', 'pvp', 'co-op', 'party', 'family friendly', 'online co-op', 'local multiplayer', 'physics', '3d fighter', '4 player local', 'indie', 'local co-op', 'team-based', 'action-adventure']",Mostly Positive,3.0
Total War: WARHAMMER III,"the cataclysmic conclusion to the total war: warhammer trilogy is here. rally your forces and step into the realm of chaos, a dimension of mind-bending horror where the very fate of the world will be decided. will you conquer your daemons… or command them? about this game
the last roar of a dying god ruptures the boundary between worlds, opening a portal to the realm of chaos. from this maelstrom, the four ruinous powers – khorne, nurgle, tzeentch and slaanesh – emerge, spreading darkness and despair.the stern warriors of kislev and the vast empire of grand cathay stand at the threshold, as a vengeful daemon prince vows to destroy those who corrupted him. the coming conflict will engulf all. will you conquer your daemons? or command them?with seven unique races and hundreds of units under your command, raise an army and dominate in epic real-time battles across a world of breathtaking scale and spectacle.in the most ambitious and groundbreaking total war title to date, dive into a captivating narrative that will take you to the mind-bending realm of chaos and back again. forge your empire in a strategy sandbox that ensures no two campaigns are ever the same.play as 10 legendary lords! will you side with the chaos gods and take one of their daemonic champions, play as an ancient transforming dragon from grand cathay, defend the frozen nation of kislev with the ice queen or play the ultimate villain as the daemon prince?customise the daemon prince to your own unique design with a huge suite of body parts and powers, creating billions of potential combinations to suit your own playstyle.multiplayer is now bigger than ever. with the vast 8-player realm of chaos multiplayer campaign, the intense 1 v 1 domination mode, the story-driven multiplayer campaigns built around kislev and grand cathay and ranked & custom battles, there’s no shortage of ways to cause chaos with friends. ['strategy', 'turn-based strategy', 'grand strategy', 'rts', 'fantasy', 'real time tactics', 'war', 'dark fantasy', 'action', 'tactical', 'atmospheric', 'dwarf', 'games workshop', 'multiplayer', 'colorful', 'co-op', 'pvp', 'singleplayer', 'story rich', 'online co-op']",Mixed,2.0
Cyberpunk 2077: Phantom Liberty,"about this content ['rpg', 'sexual content', 'cyberpunk', 'open world', 'story rich', 'nudity', 'violent', 'gore', 'atmospheric', 'singleplayer', 'first-person', 'fps', 'character customization', 'action rpg', 'action', 'choices matter', 'shooter', 'horror', 'great soundtrack', 'stealth']",Very Positive,4.0
